iter	Passed	Remaining
0	13	6939
1	22	5479
2	28	4719
3	35	4349
4	40	4035
5	47	3890
6	53	3779
7	60	3693
8	67	3662
9	74	3626
10	80	3591
11	87	3571
12	96	3617
13	103	3591
14	109	3546
15	115	3495
16	121	3451
17	127	3414
18	133	3384
19	140	3362
20	146	3339
21	152	3312
22	158	3293
23	165	3273
24	171	3254
25	177	3244
26	184	3224
27	190	3214
28	197	3201
29	205	3213
30	211	3198
31	217	3187
32	224	3173
33	230	3162
34	237	3152
35	243	3144
36	250	3132
37	256	3122
38	263	3114
39	270	3106
40	276	3095
41	283	3092
42	290	3084
43	296	3075
44	303	3066
45	309	3057
46	316	3049
47	322	3039
48	329	3034
49	336	3028
50	343	3022
51	349	3014
52	356	3008
53	363	3002
54	370	2997
55	377	2990
56	384	2985
57	391	2980
58	398	2976
59	404	2967
60	412	2965
61	418	2959
62	426	2955
63	432	2947
64	439	2943
65	446	2937
66	453	2931
67	460	2925
68	467	2920
69	474	2916
70	481	2911
71	489	2907
72	496	2901
73	502	2895
74	509	2888
75	517	2884
76	523	2878
77	531	2876
78	538	2871
79	545	2864
80	552	2857
81	559	2850
82	566	2845
83	573	2840
84	580	2835
85	587	2829
86	595	2824
87	601	2817
88	609	2813
89	616	2807
90	623	2801
91	630	2794
92	637	2788
93	644	2784
94	651	2778
95	659	2774
96	665	2766
97	673	2760
98	680	2755
99	687	2750
100	694	2745
101	702	2740
102	709	2735
103	717	2731
104	724	2725
105	731	2719
106	738	2713
107	747	2711
108	754	2705
109	761	2699
110	768	2693
111	776	2689
112	783	2683
113	791	2678
114	798	2672
115	805	2665
116	812	2659
117	819	2653
118	827	2648
119	835	2644
120	842	2638
121	849	2632
122	857	2627
123	864	2620
124	871	2614
125	878	2607
126	886	2602
127	893	2597
128	900	2590
129	908	2584
130	915	2578
131	922	2572
132	929	2565
133	936	2558
134	943	2551
135	951	2545
136	958	2540
137	965	2533
138	973	2527
139	980	2521
140	987	2514
141	994	2508
142	1002	2501
143	1009	2494
144	1016	2488
145	1023	2482
146	1031	2475
147	1038	2469
148	1045	2462
149	1052	2456
150	1060	2450
151	1067	2443
152	1074	2437
153	1081	2430
154	1089	2425
155	1096	2418
156	1103	2411
157	1110	2404
158	1118	2398
159	1125	2391
160	1132	2384
161	1140	2378
162	1147	2371
163	1154	2364
164	1161	2359
165	1169	2353
166	1176	2346
167	1183	2338
168	1190	2332
169	1197	2325
170	1205	2318
171	1212	2312
172	1219	2305
173	1226	2298
174	1234	2292
175	1241	2285
176	1248	2278
177	1255	2271
178	1263	2264
179	1270	2259
180	1278	2253
181	1285	2246
182	1293	2239
183	1300	2233
184	1307	2226
185	1314	2219
186	1322	2213
187	1329	2206
188	1337	2201
189	1345	2194
190	1352	2188
191	1360	2182
192	1367	2175
193	1375	2169
194	1383	2164
195	1391	2158
196	1399	2152
197	1406	2145
198	1415	2140
199	1422	2133
200	1429	2127
201	1437	2120
202	1445	2114
203	1453	2108
204	1460	2101
205	1467	2094
206	1475	2088
207	1483	2081
208	1490	2075
209	1497	2068
210	1505	2061
211	1512	2054
212	1519	2047
213	1526	2040
214	1534	2034
215	1541	2027
216	1549	2021
217	1557	2014
218	1564	2007
219	1571	1999
220	1578	1992
221	1586	1986
222	1593	1979
223	1600	1971
224	1607	1964
225	1614	1957
226	1622	1950
227	1624	1937
228	1631	1930
229	1638	1923
230	1645	1916
231	1652	1909
232	1660	1902
233	1667	1895
234	1674	1888
235	1681	1881
236	1690	1875
237	1697	1868
238	1704	1861
239	1707	1849
240	1714	1842
241	1722	1836
242	1730	1830
243	1737	1823
244	1745	1816
245	1753	1810
246	1760	1802
247	1768	1796
248	1775	1789
249	1783	1783
250	1790	1776
251	1798	1769
252	1805	1763
253	1813	1756
254	1820	1749
255	1827	1741
256	1835	1735
257	1844	1729
258	1851	1722
259	1858	1715
260	1866	1708
261	1873	1702
262	1877	1692
263	1885	1685
264	1892	1678
265	1899	1671
266	1907	1664
267	1914	1657
268	1921	1650
269	1928	1643
270	1936	1636
271	1944	1629
272	1951	1622
273	1956	1613
274	1960	1603
275	1967	1596
276	1974	1589
277	1981	1582
278	1988	1575
279	1995	1568
280	2003	1561
281	2010	1554
282	2017	1546
283	2020	1536
284	2027	1529
285	2035	1522
286	2042	1515
287	2049	1508
288	2056	1501
289	2063	1494
290	2070	1487
291	2078	1480
292	2084	1472
293	2091	1465
294	2098	1458
295	2106	1451
296	2113	1444
297	2120	1437
298	2127	1430
299	2131	1421
300	2138	1414
301	2146	1407
302	2153	1399
303	2160	1392
304	2163	1383
305	2170	1376
306	2177	1368
307	2184	1362
308	2191	1354
309	2199	1347
310	2206	1341
311	2214	1334
312	2221	1327
313	2225	1318
314	2232	1311
315	2240	1304
316	2247	1297
317	2254	1290
318	2262	1283
319	2269	1276
320	2277	1269
321	2284	1262
322	2291	1255
323	2299	1249
324	2308	1242
325	2315	1235
326	2323	1229
327	2330	1221
328	2338	1215
329	2346	1208
330	2353	1201
331	2360	1194
332	2368	1187
333	2375	1180
334	2383	1173
335	2390	1166
336	2397	1159
337	2405	1152
338	2412	1145
339	2419	1138
340	2427	1131
341	2434	1124
342	2441	1117
343	2448	1110
344	2456	1103
345	2463	1096
346	2470	1089
347	2478	1082
348	2485	1075
349	2492	1068
350	2499	1061
351	2506	1054
352	2514	1046
353	2521	1039
354	2528	1032
355	2535	1025
356	2542	1018
357	2550	1011
358	2557	1004
359	2564	997
360	2571	990
361	2579	983
362	2586	976
363	2593	968
364	2601	962
365	2608	954
366	2615	947
367	2623	940
368	2630	933
369	2637	926
370	2644	919
371	2652	912
372	2659	905
373	2667	898
374	2674	891
375	2681	884
376	2689	877
377	2696	870
378	2705	863
379	2712	856
380	2719	849
381	2727	842
382	2735	835
383	2742	828
384	2749	821
385	2757	814
386	2764	807
387	2772	800
388	2780	793
389	2787	786
390	2795	779
391	2803	772
392	2810	765
393	2818	758
394	2825	751
395	2833	744
396	2841	737
397	2848	730
398	2855	722
399	2864	716
400	2872	709
401	2879	702
402	2887	695
403	2894	687
404	2901	680
405	2909	673
406	2916	666
407	2923	659
408	2930	652
409	2938	644
410	2945	637
411	2952	630
412	2959	623
413	2967	616
414	2974	609
415	2980	601
416	2988	594
417	2994	587
418	3001	580
419	3009	573
420	3016	566
421	3023	558
422	3031	551
423	3038	544
424	3045	537
425	3052	530
426	3059	523
427	3067	516
428	3075	508
429	3082	501
430	3089	494
431	3096	487
432	3103	480
433	3111	473
434	3118	466
435	3125	458
436	3132	451
437	3140	444
438	3147	437
439	3154	430
440	3162	423
441	3169	415
442	3176	408
443	3183	401
444	3191	394
445	3199	387
446	3206	380
447	3213	373
448	3221	365
449	3228	358
450	3235	351
451	3243	344
452	3251	337
453	3258	330
454	3265	323
455	3273	315
456	3280	308
457	3287	301
458	3294	294
459	3301	287
460	3309	279
461	3316	272
462	3323	265
463	3331	258
464	3337	251
465	3345	244
466	3352	236
467	3360	229
468	3367	222
469	3375	215
470	3382	208
471	3389	201
472	3396	193
473	3403	186
474	3411	179
475	3418	172
476	3425	165
477	3433	158
478	3440	150
479	3447	143
480	3454	136
481	3462	129
482	3469	122
483	3476	114
484	3483	107
485	3490	100
486	3497	93
487	3504	86
488	3512	79
489	3519	71
490	3527	64
491	3534	57
492	3542	50
493	3549	43
494	3556	35
495	3564	28
496	3571	21
497	3578	14
498	3586	7
499	3593	0
