iter	RMSE
0	3791.317688
1	3585.50634
2	3390.915122
3	3203.818429
4	3023.990564
5	2860.490006
6	2698.37503
7	2551.676463
8	2417.208271
9	2289.796668
10	2172.821804
11	2064.014368
12	1960.263231
13	1864.069481
14	1772.938214
15	1689.620563
16	1615.771441
17	1540.002765
18	1472.981357
19	1411.560166
20	1354.091248
21	1301.659043
22	1254.377157
23	1211.801088
24	1168.831976
25	1128.927491
26	1090.952324
27	1059.436736
28	1026.759096
29	996.5586283
30	970.2504794
31	944.5094936
32	919.0875328
33	897.8122706
34	878.1814548
35	859.9930889
36	842.680724
37	825.9125376
38	811.5198315
39	796.3194871
40	783.1028956
41	770.3880791
42	759.0198319
43	748.8277618
44	739.2063286
45	730.1272029
46	722.0655152
47	713.7415913
48	705.8543333
49	698.4488562
50	691.8136882
51	685.1881553
52	678.8286405
53	673.5156907
54	667.9310012
55	662.3488036
56	657.708069
57	653.0900198
58	648.6702083
59	644.2994524
60	640.1542647
61	636.2245058
62	632.3729093
63	628.981897
64	626.0039281
65	623.0475199
66	619.7256587
67	616.8033385
68	614.5485424
69	612.6507315
70	609.9997916
71	608.1527878
72	606.0688615
73	603.9148059
74	602.3880983
75	600.0990273
76	598.1184144
77	596.9709831
78	595.6582682
79	593.9082985
80	592.4389575
81	590.8121834
82	589.2930416
83	588.0407938
84	586.7657064
85	585.0058997
86	583.8391934
87	581.7729588
88	580.5682077
89	579.2319319
90	578.4787954
91	577.4460221
92	576.4397102
93	575.0443798
94	573.868136
95	572.8007204
96	571.4570332
97	570.8131509
98	569.8440964
99	568.8284817
100	567.6510986
101	566.5462924
102	565.4739233
103	564.4987167
104	563.8390969
105	562.6727838
106	561.9434957
107	561.0817472
108	559.9950559
109	559.2916402
110	558.730301
111	558.0745274
112	557.394261
113	556.8076982
114	556.4834308
115	555.9956873
116	554.9876275
117	554.289857
118	553.0323314
119	552.4692165
120	551.6495349
121	551.0366874
122	550.1195443
123	549.5315704
124	548.8948123
125	548.3102828
126	547.8228523
127	547.5123974
128	547.2016769
129	546.189137
130	545.370166
131	544.8360441
132	544.2645698
133	543.7692313
134	543.2239538
135	542.834866
136	542.2297508
137	541.7956027
138	541.5000437
139	541.0548099
140	540.7446865
141	540.3243315
142	539.9557187
143	538.9497802
144	538.6179327
145	538.1977975
146	537.7157641
147	537.0067778
148	536.3768038
149	536.1650368
150	535.8344166
151	535.1813946
152	534.7007799
153	534.0953497
154	533.8414759
155	533.4058228
156	533.0143739
157	532.7931128
158	532.7282762
159	532.6212019
160	532.1487619
161	531.6324465
162	530.644202
163	530.3159658
164	529.6083734
165	529.2605353
166	528.9625748
167	528.8134886
168	528.6685357
169	528.3916486
170	527.6656676
171	527.0181167
172	526.6922309
173	526.1354924
174	525.5334417
175	525.0651034
176	524.8558895
177	524.2455452
178	523.7316223
179	523.4508605
180	522.9587336
181	522.7704979
182	522.3904088
183	521.8819335
184	521.5900776
185	521.3610984
186	521.0135599
187	520.9447441
188	520.6819684
189	519.9888901
190	519.6616097
191	519.1612882
192	519.1320978
193	519.1015978
194	518.591448
195	518.2834649
196	518.1407835
197	518.0406844
198	518.014193
199	517.7213837
200	517.5006404
201	517.0835439
202	516.7721187
203	516.423527
204	515.9033212
205	515.4614769
206	515.2641886
207	514.7290345
208	514.5022099
209	514.1923029
210	513.7426689
211	513.497741
212	513.2209914
213	512.8758262
214	512.6219336
215	512.3174886
216	511.9316786
217	511.563863
218	511.3767463
219	511.2929413
220	510.9345173
221	510.7823857
222	510.5052833
223	510.3689808
224	509.7730192
225	509.315819
226	508.8085245
227	508.4922467
228	508.1757665
229	507.8301501
230	507.5477244
231	507.1621712
232	506.9329558
233	506.7486473
234	506.4687399
235	506.1641596
236	505.92745
237	505.6265471
238	505.4755028
239	504.9857619
240	504.6972175
241	504.4146434
242	504.0163012
243	503.8254335
244	503.4879569
245	503.2774354
246	503.0125776
247	502.9106216
248	502.5477046
249	502.1383597
250	501.7683769
251	501.4875788
252	501.0039992
253	500.7758473
254	500.556937
255	500.3707933
256	500.147536
257	499.9710434
258	499.705795
259	499.5336281
260	499.2282283
261	499.2145981
262	498.9366214
263	498.6154542
264	498.4005837
265	498.1914662
266	497.9390989
267	497.880563
268	497.5664194
269	497.0830765
270	496.7480413
271	496.5183001
272	496.3484255
273	496.1270312
274	495.9138476
275	495.7060246
276	495.5988915
277	495.4425272
278	495.2371212
279	495.1726317
280	494.91205
281	494.6491228
282	494.4381075
283	494.1610418
284	494.0640823
285	493.7237472
286	493.6443499
287	493.3947157
288	493.1979036
289	493.0543504
290	492.8742863
291	492.5551973
292	492.3243763
293	492.108498
294	491.8337609
295	491.5784449
296	491.3470989
297	491.2295234
298	490.9958945
299	490.8175353
300	490.6337135
301	490.191255
302	490.0039339
303	489.7520594
304	489.6401737
305	489.4026132
306	489.228297
307	488.9900977
308	488.8803308
309	488.777452
310	488.5524442
311	488.4722864
312	488.3751299
313	488.1570427
314	488.1104261
315	487.9279704
316	487.7750481
317	487.5639774
318	487.1866366
319	486.9847349
320	486.9288773
321	486.6686591
322	486.5951433
323	486.4539751
324	486.1728361
325	486.052906
326	485.8882151
327	485.7320626
328	485.5075433
329	485.0758908
330	484.9764118
331	484.8357488
332	484.4309996
333	484.2051051
334	483.9287237
335	483.5186576
336	483.1916394
337	482.8129687
338	482.3937937
339	482.1607785
340	482.0449776
341	481.893394
342	481.6142981
343	481.5289689
344	481.1534721
345	480.9696027
346	480.6175539
347	480.2491415
348	479.9057099
349	479.6353648
350	479.3616452
351	478.9628324
352	478.7816142
353	478.665004
354	478.4262333
355	478.0778067
356	477.8584029
357	477.7401882
358	477.6109793
359	477.2386351
360	477.1089027
361	477.0496851
362	476.69913
363	476.3808887
364	475.9082012
365	475.639197
366	475.5248424
367	475.4181546
368	475.2220754
369	474.966048
370	474.785915
371	474.5436732
372	474.4997613
373	474.2651338
374	474.1481054
375	473.8344728
376	473.6828097
377	473.5287724
378	473.4581108
379	473.281923
380	473.0357325
381	472.9638494
382	472.8334133
383	472.5700609
384	472.3481301
385	472.0641746
386	471.7706061
387	471.5628646
388	471.5264556
389	471.5010208
390	471.2892778
391	471.1949132
392	471.1747123
393	471.1154735
394	471.0985182
395	470.9444124
396	470.7791935
397	470.5463797
398	470.3536879
399	470.3053314
400	470.1974069
401	470.1401034
402	469.934915
403	469.6950797
404	469.452886
405	469.2904599
406	469.1239096
407	468.8503367
408	468.5955534
409	468.2895375
410	467.9707422
411	467.7177211
412	467.448503
413	467.2358299
414	467.0903155
415	466.8121738
416	466.7677745
417	466.6427723
418	466.4674964
419	466.2613497
420	466.0817996
421	466.0292809
422	465.9326305
423	465.7809892
424	465.7490396
425	465.5929324
426	465.2568286
427	465.2183032
428	465.1578451
429	465.027383
430	464.7330193
431	464.3400196
432	464.2070282
433	464.0002367
434	463.7602416
435	463.629062
436	463.2460224
437	463.2087042
438	463.0749069
439	462.959713
440	462.8465474
441	462.7299021
442	462.6365688
443	462.6153188
444	462.3769808
445	462.2908481
446	462.2055294
447	462.1227709
448	461.98762
449	461.8659574
450	461.7829087
451	461.7173502
452	461.5350119
453	461.4616442
454	461.3899784
455	461.2115251
456	461.1159246
457	460.7676395
458	460.699149
459	460.4648552
460	460.2032856
461	460.0979515
462	459.7786629
463	459.4957599
464	459.4052258
465	459.1982057
466	459.1350702
467	458.848681
468	458.7874828
469	458.7038002
470	458.5133283
471	458.3728303
472	458.0648711
473	457.9933433
474	457.9585935
475	457.9038002
476	457.8106134
477	457.6468205
478	457.5173835
479	457.3197102
480	457.2628787
481	457.1477624
482	457.1073789
483	456.9513291
484	456.7817506
485	456.5637922
486	456.4314245
487	456.3332121
488	456.2880355
489	456.2607743
490	456.0333635
491	455.7773142
492	455.6167619
493	455.5820039
494	455.4804427
495	455.3319229
496	455.2207175
497	455.0073341
498	454.890808
499	454.7347904
500	454.5114914
501	454.4738826
502	454.1836457
503	454.0740817
504	453.9773519
505	453.8304149
506	453.713101
507	453.3973698
508	453.1321038
509	453.0988858
510	452.9979848
511	452.8175088
512	452.5895197
513	452.5729373
514	452.5317503
515	452.2312175
516	452.0817103
517	451.9985863
518	451.9693414
519	451.8716235
520	451.8455415
521	451.5894213
522	451.5511736
523	451.5273727
524	451.3074621
525	451.2961194
526	451.2105116
527	451.0740083
528	451.0160084
529	450.7150632
530	450.545343
531	450.3820529
532	450.1046399
533	449.9406301
534	449.9189179
535	449.7171526
536	449.5593755
537	449.3944413
538	449.0763058
539	448.8061487
540	448.568128
541	448.4274291
542	448.3979524
543	448.3656275
544	448.1746426
545	447.992308
546	447.9168563
547	447.7653507
548	447.53253
549	447.3198186
550	447.1824168
551	447.062066
552	447.0342367
553	446.9170441
554	446.7346907
555	446.6512305
556	446.4156068
557	446.4132117
558	446.255491
559	446.1331154
560	446.0258829
561	445.7991662
562	445.759907
563	445.4998706
564	445.2298606
565	445.1176696
566	444.9734183
567	444.7280609
568	444.5879148
569	444.4441802
570	444.3932372
571	444.3571734
572	444.0919468
573	444.0575133
574	443.8939592
575	443.8919244
576	443.8897792
577	443.8034913
578	443.7431809
579	443.546797
580	443.4068178
581	443.177143
582	442.9909069
583	442.8728532
584	442.7200781
585	442.5476748
586	442.4484608
587	442.4017148
588	442.1913611
589	441.9767787
590	441.7787397
591	441.4722174
592	441.3104856
593	441.1404553
594	440.985962
595	440.7829594
596	440.7810466
597	440.601802
598	440.4686944
599	440.3373399
600	440.1565408
601	439.9910622
602	439.9693271
603	439.9098989
604	439.8748743
605	439.7039786
606	439.6244826
607	439.5030953
608	439.3827214
609	439.2595252
610	439.2458217
611	439.0914239
612	438.9795906
613	438.794526
614	438.6971966
615	438.6018851
616	438.5312974
617	438.3012188
618	438.2304801
619	438.1454497
620	438.1188192
621	438.0895739
622	438.0886741
623	438.0021544
624	437.804397
625	437.7928
626	437.6556546
627	437.4950443
628	437.3856639
629	437.2209476
630	436.9548484
631	436.8471254
632	436.6572742
633	436.5099252
634	436.4871752
635	436.4627191
636	436.440927
637	436.420326
638	436.3371636
639	436.0798876
640	435.9489736
641	435.7038062
642	435.6290801
643	435.4109467
644	435.1508197
645	435.1016812
646	434.9959838
647	434.8620654
648	434.7507253
649	434.6583797
650	434.4920312
651	434.4736829
652	434.4663169
653	434.340945
654	434.2132646
655	434.1898271
656	434.1523798
657	433.8873652
658	433.7923775
659	433.6770403
660	433.6596148
661	433.5576293
662	433.4626131
663	433.409812
664	433.2832246
665	433.2463747
666	433.166838
667	432.9982977
668	432.9590528
669	432.7234588
670	432.5391852
671	432.4211772
672	432.2751935
673	432.2290583
674	432.0781438
675	431.831204
676	431.7085973
677	431.6003382
678	431.438676
679	431.3404078
680	431.3238211
681	431.1225326
682	431.0875505
683	430.9733209
684	430.8571925
685	430.6914465
686	430.6217539
687	430.4654468
688	430.3848672
689	430.2379841
690	430.0768547
691	429.9299674
692	429.8216692
693	429.6950508
694	429.679637
695	429.5425383
696	429.4306592
697	429.428972
698	429.3822327
699	429.2214472
700	429.1981879
701	429.10412
702	428.8951519
703	428.8035399
704	428.6362664
705	428.6062835
706	428.397895
707	428.3783295
708	428.3385884
709	428.323671
710	428.1464651
711	428.0645888
712	427.9720794
713	427.9542051
714	427.9412428
715	427.8817311
716	427.7932426
717	427.7750646
718	427.6543845
719	427.4876955
720	427.3910753
721	427.1837652
722	427.0420242
723	426.9429367
724	426.8270555
725	426.7463273
726	426.6030799
727	426.3912835
728	426.3053671
729	426.2051206
730	426.0549708
731	426.0002783
732	425.9828242
733	425.9671755
734	425.736108
735	425.6207567
736	425.5899136
737	425.5720196
738	425.5515333
739	425.4199711
740	425.2302701
741	425.0261502
742	424.8266244
743	424.752269
744	424.7387015
745	424.636748
746	424.6103837
747	424.4085978
748	424.3942753
749	424.2288315
750	424.1850244
751	424.1638521
752	424.1133927
753	424.081489
754	424.0560428
755	423.8740308
756	423.8162547
757	423.623456
758	423.5850516
759	423.5601024
760	423.5317143
761	423.4088244
762	423.2741866
763	423.0277239
764	422.8980626
765	422.8497067
766	422.810172
767	422.5581886
768	422.3985955
769	422.2199285
770	422.0442474
771	421.8853757
772	421.7847835
773	421.701542
774	421.6499042
775	421.5472834
776	421.4657715
777	421.4402953
778	421.3381805
779	421.2705085
780	421.2505957
781	421.165095
782	421.1474663
783	421.103032
784	420.9444468
785	420.8184647
786	420.8043147
787	420.6980153
788	420.5351449
789	420.5185899
790	420.4947366
791	420.3596412
792	420.2993819
793	420.2503577
794	420.1762794
795	420.1190237
796	420.064302
797	420.008421
798	419.9000998
799	419.8806313
800	419.835297
801	419.8337892
802	419.8243426
803	419.7037325
804	419.6930004
805	419.6481973
806	419.5755564
807	419.4851865
808	419.3730661
809	419.177838
810	419.1104087
811	419.1068576
812	418.9053956
813	418.9039521
814	418.8523969
815	418.8256947
816	418.6056376
817	418.6022977
818	418.6008984
819	418.5652476
820	418.5317655
821	418.4861764
822	418.4264873
823	418.3043937
824	418.2957336
825	418.2646402
826	418.2231428
827	418.096546
828	418.0578156
829	418.0294958
830	417.9916536
831	417.8603163
832	417.8015808
833	417.6978663
834	417.67178
835	417.6395764
836	417.531075
837	417.3904471
838	417.3281115
839	417.1935816
840	417.1251718
841	417.0081714
842	416.8840523
843	416.8214635
844	416.7724863
845	416.7166049
846	416.5925548
847	416.4573909
848	416.3728342
849	416.3158789
850	416.2655066
851	416.1901795
852	416.1169512
853	416.1158101
854	416.1096091
855	416.0020395
856	415.919863
857	415.8657617
858	415.8651518
859	415.6615813
860	415.5427698
861	415.4570971
862	415.3098987
863	415.2138284
864	415.0511903
865	414.9236618
866	414.7930745
867	414.7090516
868	414.5661166
869	414.4753605
870	414.4148091
871	414.2988303
872	414.0916354
873	413.9876256
874	413.8800733
875	413.6651113
876	413.5416839
877	413.4835509
878	413.4146866
879	413.2725388
880	413.1144483
881	412.9720344
882	412.8954397
883	412.8146376
884	412.6746346
885	412.5317783
886	412.4542767
887	412.396962
888	412.2916314
889	412.1895576
890	412.1743662
891	412.1737497
892	412.1310416
893	411.9919862
894	411.8414787
895	411.8132984
896	411.6820623
897	411.6130246
898	411.5365109
899	411.4558557
900	411.3218618
901	411.2269731
902	411.1033687
903	411.0089987
904	410.9784366
905	410.878874
906	410.7373331
907	410.6214552
908	410.5068443
909	410.4106238
910	410.3045787
911	410.2043595
912	410.1005856
913	409.9986284
914	409.8973799
915	409.7424654
916	409.5645678
917	409.4721559
918	409.2990053
919	409.1812992
920	409.050323
921	408.9682858
922	408.915485
923	408.7608393
924	408.6919721
925	408.5101355
926	408.4907233
927	408.4329671
928	408.278382
929	408.1732738
930	407.9868309
931	407.9698866
932	407.9426071
933	407.830358
934	407.6663149
935	407.5691344
936	407.4707978
937	407.3418185
938	407.3031081
939	407.1695696
940	407.0336892
941	407.0192331
942	406.9047735
943	406.6780763
944	406.5950928
945	406.5699301
946	406.4964181
947	406.3307287
948	406.2225305
949	406.1008114
950	406.0128734
951	405.9306675
952	405.8279793
953	405.7421627
954	405.5367283
955	405.4581714
956	405.4227859
957	405.3361652
958	405.234647
959	405.1557662
960	405.0750842
961	404.9754776
962	404.948149
963	404.8520319
964	404.8310588
965	404.706452
966	404.5758614
967	404.4313645
968	404.420352
969	404.3492672
970	404.2346308
971	404.1444682
972	404.0749094
973	403.9138801
974	403.792376
975	403.7204795
976	403.6570368
977	403.5082052
978	403.4708775
979	403.3593882
980	403.2235318
981	403.1072548
982	402.98836
983	402.8876726
984	402.8009316
985	402.6940947
986	402.6360378
987	402.6165967
988	402.4754949
989	402.3594574
990	402.2460043
991	402.0696577
992	402.0505838
993	401.9911871
994	401.8627165
995	401.8605433
996	401.7576915
997	401.6298553
998	401.5822981
999	401.5042436
