iter	Passed	Remaining
0	176	176315
1	195	97549
2	209	69562
3	224	55972
4	237	47260
5	249	41388
6	261	37121
7	273	33859
8	287	31681
9	298	29529
10	309	27859
11	322	26546
12	335	25463
13	347	24490
14	360	23695
15	372	22938
16	384	22241
17	397	21661
18	408	21102
19	434	21297
20	461	21524
21	476	21174
22	492	20917
23	547	22250
24	568	22177
25	585	21924
26	598	21585
27	613	21302
28	628	21057
29	646	20889
30	659	20628
31	681	20603
32	697	20439
33	725	20602
34	740	20412
35	781	20913
36	797	20762
37	812	20577
38	846	20850
39	864	20743
40	891	20850
41	917	20936
42	936	20838
43	953	20707
44	971	20624
45	991	20556
46	1021	20712
47	1051	20860
48	1071	20793
49	1104	20981
50	1122	20888
51	1141	20808
52	1165	20828
53	1202	21072
54	1229	21123
55	1249	21055
56	1267	20966
57	1286	20892
58	1309	20884
59	1328	20819
60	1354	20855
61	1372	20762
62	1403	20872
63	1422	20808
64	1442	20753
65	1465	20738
66	1486	20700
67	1509	20693
68	1529	20636
69	1557	20693
70	1575	20619
71	1595	20562
72	1614	20507
73	1637	20494
74	1656	20430
75	1678	20408
76	1698	20357
77	1729	20439
78	1746	20360
79	1771	20377
80	1794	20355
81	1816	20336
82	1837	20299
83	1859	20280
84	1883	20272
85	1900	20203
86	1921	20160
87	1939	20104
88	1960	20070
89	1979	20011
90	2005	20035
91	2029	20035
92	2067	20160
93	2085	20102
94	2107	20074
95	2130	20063
96	2150	20021
97	2179	20059
98	2202	20046
99	2224	20021
100	2243	19972
101	2265	19947
102	2293	19972
103	2313	19935
104	2338	19933
105	2359	19898
106	2388	19930
107	2407	19887
108	2428	19847
109	2454	19859
110	2477	19843
111	2501	19834
112	2519	19779
113	2595	20172
114	2654	20429
115	2680	20427
116	2712	20472
117	2743	20506
118	2765	20470
119	2797	20513
120	2818	20473
121	2837	20423
122	2865	20432
123	2889	20412
124	2912	20389
125	2932	20338
126	2957	20329
127	2978	20291
128	3002	20274
129	3032	20292
130	3050	20237
131	3082	20268
132	3101	20219
133	3121	20173
134	3146	20159
135	3166	20118
136	3193	20118
137	3216	20088
138	3235	20042
139	3257	20012
140	3284	20010
141	3306	19979
142	3327	19944
143	3350	19917
